speaker_id,name,gender,movie_id,movie_name,label_agreeableness,label_openness,label_conscientiousness,label_extraversion,label_neuroticism
u91,PRESIDENT,?,m5,the fifth element,,,,,
u79,DAVID,?,m5,the fifth element,,,,,
u80,DIVA,?,m5,the fifth element,,,,,
u81,FINGER,?,m5,the fifth element,,,,,
u82,GIRL,?,m5,the fifth element,,,,,
u92,PRIEST,?,m5,the fifth element,,,,,
u83,KOMMANDER,?,m5,the fifth element,,,,,
u88,MOTHER,?,m5,the fifth element,,,,,
u98,VOICE,?,m5,the fifth element,,,,,
u86,LOC RHOD,?,m5,the fifth element,,,,,
u90,MUNRO,?,m5,the fifth element,,,,,
u97,THAI,?,m5,the fifth element,,,,,
u89,MUGGER,?,m5,the fifth element,,,,,
u87,MACTILBURGH,?,m5,the fifth element,,,,,
u96,STAEDERT,?,m5,the fifth element,,,,,
u93,PROFESSOR,?,m5,the fifth element,,,,,
u94,SECRETARY,?,m5,the fifth element,,,,,
u95,SHADOW,?,m5,the fifth element,,,,,
u114,WELLES,M,m6,8mm,,,,,
u100,AMY,F,m6,8mm,,,,,
u101,ANGRY DEALER,?,m6,8mm,,,,,
u102,DINO,?,m6,8mm,,,,,
u105,EDDIE,M,m6,8mm,,,,,
u103,DINO VELVET,M,m6,8mm,,,,,
u104,DIRECTOR,?,m6,8mm,,,,,
u107,MALE VOICE,?,m6,8mm,,,,,
u106,LONGDALE,M,m6,8mm,,,,,
u108,MAX,M,m6,8mm,,,,,
u109,MRS CHRISTIAN,M,m6,8mm,,,,,
u110,MRS MATHEWS,M,m6,8mm,,,,,
u111,NUN,?,m6,8mm,,,,,
u112,POLITICIAN,?,m6,8mm,,,,,
u113,SALESPERSON,?,m6,8mm,,,,,
u121,RICK,?,m7,a nightmare on elm street 4: the dream master,,,,,
u115,ALICE,F,m7,a nightmare on elm street 4: the dream master,,,,,
u119,KRISTEN,?,m7,a nightmare on elm street 4: the dream master,,,,,
u122,SHEILA,?,m7,a nightmare on elm street 4: the dream master,,,,,
u116,DAN,M,m7,a nightmare on elm street 4: the dream master,,,,,
u117,DEBBIE,?,m7,a nightmare on elm street 4: the dream master,,,,,
u118,ELAINE,?,m7,a nightmare on elm street 4: the dream master,,,,,
u120,NURSE,?,m7,a nightmare on elm street 4: the dream master,,,,,
u123,ALICE,F,m8,a nightmare on elm street: the dream child,,,,,
u129,MRS. JORDAN,?,m8,a nightmare on elm street: the dream child,,,,,
u127,JACOB,?,m8,a nightmare on elm street: the dream child,,,,,
u125,DAN,?,m8,a nightmare on elm street: the dream child,,,,,
u124,ALICE'S DAD,?,m8,a nightmare on elm street: the dream child,,,,,
u130,YVONNE,F,m8,a nightmare on elm street: the dream child,,,,,
u128,MARK,M,m8,a nightmare on elm street: the dream child,,,,,
u126,GRETA,?,m8,a nightmare on elm street: the dream child,,,,,
u135,REEF,M,m9,the atomic submarine,,,,,
u131,CARL,M,m9,the atomic submarine,,,,,
u132,DAVE,M,m9,the atomic submarine,,,,,
u138,WENDOVER,?,m9,the atomic submarine,,,,,
u133,GRIFF,?,m9,the atomic submarine,,,,,
u134,KENT,?,m9,the atomic submarine,,,,,
u137,SIR IAN,?,m9,the atomic submarine,,,,,
u136,SAUCER VOICE,?,m9,the atomic submarine,,,,,
u139,ALMA,F,m10,affliction,,,,,
u154,WADE,M,m10,affliction,,,,,
u140,CHICK,?,m10,affliction,,,,,
u141,HAND,?,m10,affliction,,,,,
u142,JACK,M,m10,affliction,,,,,
u144,LARIVIERE,M,m10,affliction,,,,,
u153,TWOMBLEY,M,m10,affliction,,,,,
u143,JILL,F,m10,affliction,,,,,
u145,LILLIAN,?,m10,affliction,,,,,
u146,LUGENE,?,m10,affliction,,,,,
u147,MARGIE,F,m10,affliction,,,,,
u151,POP,?,m10,affliction,,,,,
u148,MEL GORDON,?,m10,affliction,,,,,
u149,MRS. GORDON,?,m10,affliction,,,,,
u150,NICK,?,m10,affliction,,,,,
u152,ROLFE,M,m10,affliction,,,,,
u171,ROSE,?,m11,air force one,,,,,
u155,ALICE,?,m11,air force one,,,,,
u166,KORSHUNOV,?,m11,air force one,,,,,
u169,MARSHALL,M,m11,air force one,,,,,
u156,CERALLOS,?,m11,air force one,,,,,
u163,IRAQI SOLDIER,?,m11,air force one,,,,,
u157,CHIEF MECHANIC,?,m11,air force one,,,,,
u158,COL. CARLTON,?,m11,air force one,,,,,
u161,GENERAL NORTHWOOD,?,m11,air force one,,,,,
u159,DEAN,?,m11,air force one,,,,,
u160,DOHERTY,?,m11,air force one,,,,,
u177,V.P. CHANDLER,?,m11,air force one,,,,,
u162,GIBBS,?,m11,air force one,,,,,
u164,KC-135 PILOT,?,m11,air force one,,,,,
u176,TOWER,?,m11,air force one,,,,,
u165,KC-LO PILOT,?,m11,air force one,,,,,
u170,MITCHELL,?,m11,air force one,,,,,
u167,LEE,?,m11,air force one,,,,,
u168,MAJOR CALDWELL,?,m11,air force one,,,,,
u173,SECRETARY,?,m11,air force one,,,,,
u172,SECRET SERVICE AGENT,?,m11,air force one,,,,,
u175,SWITCHBOARD,?,m11,air force one,,,,,
u174,SHEPHERD,M,m11,air force one,,,,,
u178,COMMISSIONER,?,m12,airplane ii: the sequel,,,,,
u184,KRUGER,?,m12,airplane ii: the sequel,,,,,
u185,MARY,?,m12,airplane ii: the sequel,,,,,
u179,DUNN,?,m12,airplane ii: the sequel,,,,,
u186,OVEUR,?,m12,airplane ii: the sequel,,,,,
u193,TED,M,m12,airplane ii: the sequel,,,,,
u180,ELAINE,F,m12,airplane ii: the sequel,,,,,
u190,RUMACK,?,m12,airplane ii: the sequel,,,,,
u191,SIMON,M,m12,airplane ii: the sequel,,,,,
u189,ROK,?,m12,airplane ii: the sequel,,,,,
u183,JOHN,?,m12,airplane ii: the sequel,,,,,
u181,JIMMY,?,m12,airplane ii: the sequel,,,,,
u194,WIFE,?,m12,airplane ii: the sequel,,,,,
u182,JOE,?,m12,airplane ii: the sequel,,,,,
u192,STELLA,?,m12,airplane ii: the sequel,,,,,
u187,PORTER,?,m12,airplane ii: the sequel,,,,,
u188,RECEPTIONIST,?,m12,airplane ii: the sequel,,,,,
u195,BERNICE,?,m13,airplane!,,,,,
u205,MILTON,?,m13,airplane!,,,,,
u207,MRS. KRAMER,?,m13,airplane!,,,,,
u196,CAREY,?,m13,airplane!,,,,,
u214,STRIKER,M,m13,airplane!,,,,,
u197,DR. RUMACK,?,m13,airplane!,,,,,
u209,OVEUR,?,m13,airplane!,,,,,
u198,ELAINE,F,m13,airplane!,,,,,
u213,SOLDIER,?,m13,airplane!,,,,,
u199,GIRL,?,m13,airplane!,,,,,
u203,KRAMER,?,m13,airplane!,,,,,
u200,GUNDERSON,?,m13,airplane!,,,,,
u201,JACK,?,m13,airplane!,,,,,
u211,SHIRLEY,?,m13,airplane!,,,,,
u208,MURDOCK,?,m13,airplane!,,,,,
u202,JOEY,?,m13,airplane!,,,,,
u210,RANDY,?,m13,airplane!,,,,,
u204,LISA,?,m13,airplane!,,,,,
u206,MRS. HAMMEN,?,m13,airplane!,,,,,
u212,SISTER ANGELINA,?,m13,airplane!,,,,,
u215,CASSANDRA,?,m14,alien nation,,,,,
u224,SYKES,M,m14,alien nation,,,,,
u218,JETSON,M,m14,alien nation,,,,,
u216,FEDORCHUK,?,m14,alien nation,,,,,
u217,HARCOURT,?,m14,alien nation,,,,,
u219,KIPLING,?,m14,alien nation,,,,,
u220,MAFFET,?,m14,alien nation,,,,,
u221,O'NEAL,?,m14,alien nation,,,,,
u222,OPERATOR,?,m14,alien nation,,,,,
u223,PORTER,?,m14,alien nation,,,,,
u227,WINTER,?,m14,alien nation,,,,,
u226,WARNER,?,m14,alien nation,,,,,
u225,TUGGLE,?,m14,alien nation,,,,,
u233,HUDSON,?,m15,aliens,,,,,
u228,APONE,?,m15,aliens,,,,,
u231,GORMAN,?,m15,aliens,,,,,
u229,BISHOP,M,m15,aliens,,,,,
u237,RIPLEY,F,m15,aliens,,,,,
u230,BURKE,M,m15,aliens,,,,,
u232,HICKS,M,m15,aliens,,,,,
u240,VASQUEZ,?,m15,aliens,,,,,
u238,SIMPSON,?,m15,aliens,,,,,
u234,LYDECKER,?,m15,aliens,,,,,
u235,MED-TECH,?,m15,aliens,,,,,
u236,NEWT,F,m15,aliens,,,,,
u239,VAN LEUWEN,?,m15,aliens,,,,,
u241,ALLEGRO,?,m16,amadeus,,,,,
u242,ANDANTE,?,m16,amadeus,,,,,
u255,MOZART,M,m16,amadeus,,,,,
u243,ARCO,?,m16,amadeus,,,,,
u244,CAVALIERI,F,m16,amadeus,,,,,
u260,SALIERI,M,m16,amadeus,,,,,
u252,LEOPOLD,M,m16,amadeus,,,,,
u245,COLLOREDO,?,m16,amadeus,,,,,
u246,COMMENDATORE,?,m16,amadeus,,,,,
u261,SCHIKANEDER,M,m16,amadeus,,,,,
u256,OFFICER,?,m16,amadeus,,,,,
u247,CONSTANZE,F,m16,amadeus,,,,,
u263,SECOND LADY,?,m16,amadeus,,,,,
u248,FIRST LADY,?,m16,amadeus,,,,,
u254,MADAME WEBER,?,m16,amadeus,,,,,
u249,FLUNKY,?,m16,amadeus,,,,,
u262,SCHLUMBERG,?,m16,amadeus,,,,,
u250,FRAU SCHLUMBERG,?,m16,amadeus,,,,,
u251,JOSEPH,M,m16,amadeus,,,,,
u267,VON STRACK,?,m16,amadeus,,,,,
u253,LORL,F,m16,amadeus,,,,,
u258,ORSINI-ROSENBERG,?,m16,amadeus,,,,,
u268,VON SWIETEN,?,m16,amadeus,,,,,
u257,OLD SALIERI,M,m16,amadeus,,,,,
u266,VOGLER,M,m16,amadeus,,,,,
u265,UGLY OLD WOMAN,?,m16,amadeus,,,,,
u259,PAPAGENO,?,m16,amadeus,,,,,
u264,SERVANT,?,m16,amadeus,,,,,
u269,ALEX,F,m17,an american werewolf in london,,,,,
u280,ORDERLY,?,m17,an american werewolf in london,,,,,
u275,DR. HIRSCH,M,m17,an american werewolf in london,,,,,
u274,DAVID,M,m17,an american werewolf in london,,,,,
u270,BENJAMIN,?,m17,an american werewolf in london,,,,,
u278,MISS GALLAGHER,?,m17,an american werewolf in london,,,,,
u279,MRS. HOBBS,?,m17,an american werewolf in london,,,,,
u271,BOBBIE,?,m17,an american werewolf in london,,,,,
u272,BRINGSLY,?,m17,an american werewolf in london,,,,,
u283,WOMAN,?,m17,an american werewolf in london,,,,,
u273,CHESS PLAYER,?,m17,an american werewolf in london,,,,,
u276,JACK,M,m17,an american werewolf in london,,,,,
u277,LT. VILLIERS,?,m17,an american werewolf in london,,,,,
u281,SECRETARY,?,m17,an american werewolf in london,,,,,
u282,SGT. MCMANUS,?,m17,an american werewolf in london,,,,,
u288,DICKSON,M,m18,american madness,,,,,
u284,BILL,?,m18,american madness,,,,,
u303,OSCAR,?,m18,american madness,,,,,
u285,CHARLIE,?,m18,american madness,,,,,
u297,MATT,M,m18,american madness,,,,,
u292,HELEN,F,m18,american madness,,,,,
u286,CLARK,M,m18,american madness,,,,,
u302,O'BRIEN,?,m18,american madness,,,,,
u287,CLUETT,M,m18,american madness,,,,,
u294,INSPECTOR,?,m18,american madness,,,,,
u289,DUDE,?,m18,american madness,,,,,
u299,MRS. DICKSON,F,m18,american madness,,,,,
u290,GARDINER,?,m18,american madness,,,,,
u293,HELEN'S VOICE,?,m18,american madness,,,,,
u301,MRS. PEMBROKE,?,m18,american madness,,,,,
u295,JANITOR,?,m18,american madness,,,,,
u304,SAMPSON,?,m18,american madness,,,,,
u291,GUARD,?,m18,american madness,,,,,
u296,LADY,?,m18,american madness,,,,,
u298,MIKE,?,m18,american madness,,,,,
u300,MRS. HALLIGAN,?,m18,american madness,,,,,
u305,TELLER,?,m18,american madness,,,,,
u306,BOB,M,m19,american outlaws,,,,,
u309,COMANCHE TOM,?,m19,american outlaws,,,,,
u308,COLE,M,m19,american outlaws,,,,,
u312,FRANK,M,m19,american outlaws,,,,,
u313,JESSE,M,m19,american outlaws,,,,,
u307,BURLY DETECTIVE,?,m19,american outlaws,,,,,
u325,TELLER,?,m19,american outlaws,,,,,
u318,MARSHALL,?,m19,american outlaws,,,,,
u319,OLD MAN,?,m19,american outlaws,,,,,
u324,SHERRIFF,?,m19,american outlaws,,,,,
u310,DEPUTY,?,m19,american outlaws,,,,,
u311,DOC MIMMS,?,m19,american outlaws,,,,,
u326,ZEE,F,m19,american outlaws,,,,,
u315,JIMMY,?,m19,american outlaws,,,,,
u317,MA,?,m19,american outlaws,,,,,
u322,PINKERTON,M,m19,american outlaws,,,,,
u321,PASTOR,?,m19,american outlaws,,,,,
u314,JIM,?,m19,american outlaws,,,,,
u316,LYLA,?,m19,american outlaws,,,,,
u320,PARKER,M,m19,american outlaws,,,,,
u323,RAINS,M,m19,american outlaws,,,,,
u331,COURTNEY,F,m20,american psycho,,,,,
u327,BATEMAN,M,m20,american psycho,0,0,1,0,1
u330,CHRISTIE,?,m20,american psycho,,,,,
u334,EVELYN,F,m20,american psycho,,,,,
u342,VAN PATTEN,?,m20,american psycho,,,,,
u339,MRS. WOLFE,?,m20,american psycho,,,,,
u328,CARNES,?,m20,american psycho,,,,,
u329,CARRUTHERS,?,m20,american psycho,,,,,
u341,PRICE,?,m20,american psycho,,,,,
u338,MAITRE D',?,m20,american psycho,,,,,
u336,JEAN,F,m20,american psycho,,,,,
u332,DAISY,?,m20,american psycho,,,,,
u343,VICTORIA,?,m20,american psycho,,,,,
u333,ELIZABETH,F,m20,american psycho,,,,,
u337,KIMBALL,M,m20,american psycho,,,,,
u335,HOMELESS MAN,M,m20,american psycho,,,,,
u340,OWEN,?,m20,american psycho,,,,,
u344,ALICE,F,m21,antitrust,,,,,
u350,LARRY,?,m21,antitrust,,,,,
u354,MILO,M,m21,antitrust,,,,,
u355,PHIL,?,m21,antitrust,,,,,
u345,BARTON,?,m21,antitrust,,,,,
u346,BRIAN,?,m21,antitrust,,,,,
u347,CYBER PUNDIT,?,m21,antitrust,,,,,
u351,LARRY KING,?,m21,antitrust,,,,,
u348,DANNY,?,m21,antitrust,,,,,
u349,GARY,M,m21,antitrust,,,,,
u352,LEN,?,m21,antitrust,,,,,
u358,SHROT,?,m21,antitrust,,,,,
u353,LISA,F,m21,antitrust,,,,,
u359,TEDDY,?,m21,antitrust,,,,,
u357,REDMOND,?,m21,antitrust,,,,,
u356,RANDY,?,m21,antitrust,,,,,
u360,ALOTTA,F,m22,austin powers: international man of mystery,,,,,
u362,AUSTIN,M,m22,austin powers: international man of mystery,0,1,0,1,0
u361,ANDY WARHOL,?,m22,austin powers: international man of mystery,,,,,
u363,BASIL EXPOSITION,M,m22,austin powers: international man of mystery,,,,,
u370,MICK JAGGER,?,m22,austin powers: international man of mystery,,,,,
u366,DESTRUCTACON,?,m22,austin powers: international man of mystery,,,,,
u367,DR. EVIL,M,m22,austin powers: international man of mystery,,,,,
u377,VANESSA,F,m22,austin powers: international man of mystery,,,,,
u364,CLERK,?,m22,austin powers: international man of mystery,,,,,
u369,GUARD,?,m22,austin powers: international man of mystery,,,,,
u365,COMMANDER GILMOUR,?,m22,austin powers: international man of mystery,,,,,
u374,RADAR OPERATOR,?,m22,austin powers: international man of mystery,,,,,
u372,MUSTAFA,?,m22,austin powers: international man of mystery,,,,,
u368,FRAU FARBISSINA,?,m22,austin powers: international man of mystery,,,,,
u376,THERAPIST,?,m22,austin powers: international man of mystery,,,,,
u375,SCOTT EVIL,M,m22,austin powers: international man of mystery,,,,,
u373,NUMBER TWO,?,m22,austin powers: international man of mystery,,,,,
u371,MRS. KENSINGTON,?,m22,austin powers: international man of mystery,,,,,
u387,STEED,M,m23,the avengers,,,,,
u378,BAILEY,?,m23,the avengers,,,,,
u379,DR. DARLING,?,m23,the avengers,,,,,
u380,EMMA,F,m23,the avengers,,,,,
u386,SIR AUGUST,?,m23,the avengers,,,,,
u385,PORTER,?,m23,the avengers,,,,,
u389,VOICE,?,m23,the avengers,,,,,
u383,MOTHER,M,m23,the avengers,,,,,
u388,VALENTINE,F,m23,the avengers,,,,,
u381,FATHER,?,m23,the avengers,,,,,
u382,INVISIBLE JONES,M,m23,the avengers,,,,,
u384,OLD LADY,?,m23,the avengers,,,,,
u390,BOBBIE,?,m24,bachelor party,,,,,
u404,PHOEBE,?,m24,bachelor party,,,,,
u393,DEBBIE,F,m24,bachelor party,,,,,
u391,CHULO,?,m24,bachelor party,,,,,
u403,O'NEILL,M,m24,bachelor party,,,,,
u406,RICK,M,m24,bachelor party,,,,,
u407,RYKO,?,m24,bachelor party,,,,,
u392,COLE,M,m24,bachelor party,,,,,
u400,MR. T,?,m24,bachelor party,,,,,
u401,MR. THOMERSON,?,m24,bachelor party,,,,,
u396,ILENE,?,m24,bachelor party,,,,,
u402,MRS. THOMERSON,?,m24,bachelor party,,,,,
u394,EXECUTIVE,?,m24,bachelor party,,,,,
u395,GARY,?,m24,bachelor party,,,,,
u397,JUMBO,?,m24,bachelor party,,,,,
u405,RAJAH,?,m24,bachelor party,,,,,
u398,LARRY,?,m24,bachelor party,,,,,
u399,MANAGER,?,m24,bachelor party,,,,,
u410,WOMAN,?,m24,bachelor party,,,,,
u409,STAN,?,m24,bachelor party,,,,,
u408,SISTER MARY FRANCIS,?,m24,bachelor party,,,,,
u411,AXE,?,m25,backdraft,,,,,
u421,STEPHEN,M,m25,backdraft,,,,,
u412,BRIAN,M,m25,backdraft,,,,,
u417,JENNIFER,F,m25,backdraft,,,,,
u419,RONALD,?,m25,backdraft,,,,,
u413,CHIEF FITZGERALD,?,m25,backdraft,,,,,
u420,SHADOW,M,m25,backdraft,,,,,
u416,HELEN,F,m25,backdraft,,,,,
u422,SWAYZAK,?,m25,backdraft,,,,,
u423,TIM,?,m25,backdraft,,,,,
u424,WILLY,?,m25,backdraft,,,,,
u414,DENNIS,?,m25,backdraft,,,,,
u415,GRINDLE,?,m25,backdraft,,,,,
u418,RICCO,?,m25,backdraft,,,,,
u432,LT,M,m26,bad lieutenant,,,,,
u425,ARIANE,F,m26,bad lieutenant,,,,,
u427,FENCE,?,m26,bad lieutenant,,,,,
u426,ELDERLY BLACK WOMAN,?,m26,bad lieutenant,,,,,
u428,JC,?,m26,bad lieutenant,,,,,
u429,JESUS,?,m26,bad lieutenant,,,,,
u430,LARGE,?,m26,bad lieutenant,,,,,
u431,LITE,M,m26,bad lieutenant,,,,,
u434,PRIEST,?,m26,bad lieutenant,,,,,
u433,NUN,?,m26,bad lieutenant,,,,,
u435,1/16TH BLACK,?,m27,bamboozled,,,,,
u437,BIG BLACK,?,m27,bamboozled,,,,,
u443,HONEYCUTT,?,m27,bamboozled,,,,,
u436,AUDIENCE,?,m27,bamboozled,,,,,
u452,SLOAN,F,m27,bamboozled,,,,,
u439,DELACROIX,M,m27,bamboozled,,,,,
u453,TAVIS SMILEY,?,m27,bamboozled,,,,,
u438,CHEEBA,?,m27,bamboozled,,,,,
u447,MANTAN,M,m27,bamboozled,,,,,
u446,MANRAY,?,m27,bamboozled,,,,,
u442,GARY BYRD,?,m27,bamboozled,,,,,
u441,DUNWITTY,M,m27,bamboozled,,,,,
u445,JUNEBUG,M,m27,bamboozled,,,,,
u440,DOT,?,m27,bamboozled,,,,,
u448,MONA,?,m27,bamboozled,,,,,
u450,ORCHID,F,m27,bamboozled,,,,,
u444,JUKKA,?,m27,bamboozled,,,,,
u449,MYRNA,?,m27,bamboozled,,,,,
u451,SLEEP 'N EAT,M,m27,bamboozled,,,,,
u473,RODERICK,M,m28,barry lyndon,,,,,
u454,ARMED GENTLEMAN,?,m28,barry lyndon,,,,,
u463,HARRY,?,m28,barry lyndon,,,,,
u455,CAPTAIN BEST,?,m28,barry lyndon,,,,,
u466,MICHAEL,?,m28,barry lyndon,,,,,
u456,CAPTAIN GALGENSTEIN,M,m28,barry lyndon,,,,,
u457,CAPTAIN GROGAN,M,m28,barry lyndon,,,,,
u458,CAPTAIN O'REILLY,?,m28,barry lyndon,,,,,
u471,PRINCE,?,m28,barry lyndon,,,,,
u459,CHEVALIER,M,m28,barry lyndon,,,,,
u472,PRUSSIAN OFFICER,?,m28,barry lyndon,,,,,
u460,COUNT,?,m28,barry lyndon,,,,,
u461,COUNTESS,F,m28,barry lyndon,,,,,
u462,DOROTHY,?,m28,barry lyndon,,,,,
u464,HENRI,?,m28,barry lyndon,,,,,
u465,LORD WEST,?,m28,barry lyndon,,,,,
u467,MINISTER GALGENSTEIN,?,m28,barry lyndon,,,,,
u468,MRS. O'REILLY,?,m28,barry lyndon,,,,,
u469,NEWCOMBE,?,m28,barry lyndon,,,,,
u470,PATRICK,?,m28,barry lyndon,,,,,
u474,SIR WILLIAM,?,m28,barry lyndon,,,,,
u475,VALDEZ,?,m28,barry lyndon,,,,,
u479,HARDY,M,m29,basic,,,,,
u476,BARTENDER,?,m29,basic,,,,,
u477,CHILDS,?,m29,basic,,,,,
u480,KENDALL,M,m29,basic,,,,,
u481,MUELLER,?,m29,basic,,,,,
u478,DUNBAR,M,m29,basic,,,,,
u482,OSBORNE,F,m29,basic,,,,,
u487,WEST,?,m29,basic,,,,,
u483,PIKE,M,m29,basic,,,,,
u485,STYLES,M,m29,basic,,,,,
u484,SERGEANT,?,m29,basic,,,,,
u486,THE CADETS,?,m29,basic,,,,,
u488,AMOS,M,m30,big fish,,,,,
u492,EDWARD,M,m30,big fish,1,1,0,0,1
u489,BEAMEN,?,m30,big fish,,,,,
u490,DON PRICE,?,m30,big fish,,,,,
u491,DR. BENNETT,?,m30,big fish,,,,,
u498,WILL,M,m30,big fish,,,,,
u493,JENNY,F,m30,big fish,,,,,
u494,JOSEPHINE,F,m30,big fish,,,,,
u495,KARL,?,m30,big fish,,,,,
u497,SANDRA,F,m30,big fish,,,,,
u496,NORTHER WINSLOW,?,m30,big fish,,,,,
u504,YURI,M,m31,birthday girl,,,,,
u499,ALEXEI,?,m31,birthday girl,,,,,
u502,NADIA,F,m31,birthday girl,,,,,
u501,JOHN,M,m31,birthday girl,,,,,
u500,BRANCH MANAGER,?,m31,birthday girl,,,,,
u503,OFFICIAL,?,m31,birthday girl,,,,,
u516,RONNIE,M,m32,black snake moan,,,,,
u505,ANGELA,F,m32,black snake moan,,,,,
u511,LAZARUS,M,m32,black snake moan,,,,,
u513,MAYELLA,?,m32,black snake moan,,,,,
u506,BOJO,?,m32,black snake moan,,,,,
u515,RAE,F,m32,black snake moan,,,,,
u507,BRYAN,?,m32,black snake moan,,,,,
u508,ELLA MAE,?,m32,black snake moan,,,,,
u509,GILL,M,m32,black snake moan,,,,,
u510,JESSE,?,m32,black snake moan,,,,,
u517,ROSE,F,m32,black snake moan,,,,,
u519,TEHRONNE,M,m32,black snake moan,,,,,
u514,R.L.,M,m32,black snake moan,,,,,
u512,LINCOLN,?,m32,black snake moan,,,,,
u518,SANDY,?,m32,black snake moan,,,,,
u520,CHARLIE,M,m33,black rain,,,,,
u525,NICK,M,m33,black rain,,,,,
u522,ICH,?,m33,black rain,,,,,
u521,CONNIE,?,m33,black rain,,,,,
u523,JOYCE,F,m33,black rain,,,,,
u524,KOBO,?,m33,black rain,,,,,
u527,OLIVER,?,m33,black rain,,,,,
u526,OHASHI,M,m33,black rain,,,,,
